id,city,location,picture_url,listing_url,room_type,accommodates,price,beds,review_scores_rating,number_of_reviews,latitude,longitude
19086352,San Diego,San Diego,https://a0.muscache.com/pictures/236a876d-d206-4a70-b3b3-bdfdcbcb1990.jpg,https://www.airbnb.com/rooms/19086352,Entire home/apt,6,180.0,4.0,4.81,186,32.76178,-117.24947
19893710,San Diego,San Diego,https://a0.muscache.com/pictures/d1c3750d-5d88-4eb2-93fb-56b1b6e7c81f.jpg,https://www.airbnb.com/rooms/19893710,Entire home/apt,6,307.0,4.0,4.84,129,32.71842,-117.24015
19434086,San Diego,San Diego,https://a0.muscache.com/pictures/airflow/Hosting-19434086/original/de041856-93ef-4326-978b-f0c4b22a5e28.jpg,https://www.airbnb.com/rooms/19434086,Private room,6,155.0,5.0,4.93,92,32.75032,-117.20205
19596109,San Diego,San Diego,https://a0.muscache.com/pictures/1f641838-bcf5-4fdd-8f15-bcef1961d43e.jpg,https://www.airbnb.com/rooms/19596109,Entire home/apt,6,290.0,4.0,4.81,332,32.77258,-117.25237
20517483,San Diego,San Diego,https://a0.muscache.com/pictures/91b566ba-c63d-46f7-88e4-d3fd9770b169.jpg,https://www.airbnb.com/rooms/20517483,Entire home/apt,6,380.0,4.0,4.92,79,32.75503,-117.19112
19745201,San Diego,San Diego,https://a0.muscache.com/pictures/65c8fb0d-2bed-40db-8ba9-8d388b5951f1.jpg,https://www.airbnb.com/rooms/19745201,Private room,5,213.0,4.0,4.85,221,32.82223,-117.25647
20678906,San Diego,San Diego,https://a0.muscache.com/pictures/9d39f9bf-4109-49af-bdff-a1be62f77939.jpg,https://www.airbnb.com/rooms/20678906,Entire home/apt,6,1331.0,4.0,4.88,57,32.77588,-117.25216
20726117,San Diego,San Diego,https://a0.muscache.com/pictures/4e53c5ec-f16c-4a7a-ab1b-527a0c806acd.jpg,https://www.airbnb.com/rooms/20726117,Entire home/apt,6,211.0,5.0,4.94,197,32.72439,-117.10758
21420310,San Diego,San Diego,https://a0.muscache.com/pictures/miso/Hosting-21420310/original/3b02cdaf-783b-4e8e-9f69-c635197e687c.jpeg,https://www.airbnb.com/rooms/21420310,Entire home/apt,5,160.0,4.0,4.88,379,32.74667,-117.1878
21490193,San Diego,San Diego,https://a0.muscache.com/pictures/30c671c2-66ee-4d0a-a2cb-6262718bd205.jpg,https://www.airbnb.com/rooms/21490193,Entire home/apt,6,368.0,4.0,4.92,127,32.83478546142578,-117.2265853881836
21505473,San Diego,San Diego,https://a0.muscache.com/pictures/590c272e-8d69-4216-bd3b-d60a91cfa9dd.jpg,https://www.airbnb.com/rooms/21505473,Entire home/apt,6,257.0,6.0,4.88,130,32.805,-117.24314
21850943,San Diego,San Diego,https://a0.muscache.com/pictures/e8f4e285-5a14-469b-9fed-7dc1897298d9.jpg,https://www.airbnb.com/rooms/21850943,Entire home/apt,6,468.0,4.0,4.86,51,32.77439,-117.25188
21631546,San Diego,San Diego,https://a0.muscache.com/pictures/2956330c-dd6c-4453-8390-579f2c852acb.jpg,https://www.airbnb.com/rooms/21631546,Entire home/apt,6,357.0,4.0,4.94,163,32.72196,-117.16885
21926892,San Diego,San Diego,https://a0.muscache.com/pictures/d60632ef-af68-4156-9a74-777c530180b7.jpg,https://www.airbnb.com/rooms/21926892,Entire home/apt,6,129.0,5.0,4.7,246,32.70253,-117.05591
21980917,San Diego,San Diego,https://a0.muscache.com/pictures/a3d594dd-1a35-4e97-95c9-ba61a6c1bb3a.jpg,https://www.airbnb.com/rooms/21980917,Entire home/apt,6,250.0,5.0,4.89,71,32.79382,-117.24661
22304975,San Diego,San Diego,https://a0.muscache.com/pictures/e3a4420f-326a-4667-8481-1bc2e2bca2c2.jpg,https://www.airbnb.com/rooms/22304975,Entire home/apt,6,153.0,4.0,4.96,57,32.76207,-117.07198
23416884,San Diego,San Diego,https://a0.muscache.com/pictures/miso/Hosting-23416884/original/3c752e03-3398-4ee8-a63c-5f2c3c69b633.jpeg,https://www.airbnb.com/rooms/23416884,Entire home/apt,6,508.0,4.0,4.99,102,32.83083724975586,-117.27786254882812
24848613,San Diego,San Diego,https://a0.muscache.com/pictures/56d25c6c-a02d-42e9-abf7-bfe52b383144.jpg,https://www.airbnb.com/rooms/24848613,Entire home/apt,5,213.0,4.0,4.78,182,32.74524,-117.2527
24871373,San Diego,San Diego,https://a0.muscache.com/pictures/505acbe1-061a-4774-b7d7-801053364cbd.jpg,https://www.airbnb.com/rooms/24871373,Entire home/apt,6,176.0,4.0,4.96,190,32.75601,-117.15019
24993567,San Diego,San Diego,https://a0.muscache.com/pictures/miso/Hosting-24993567/original/d17d9bde-b742-436c-b4db-63bb08f98da6.jpeg,https://www.airbnb.com/rooms/24993567,Entire home/apt,6,625.0,4.0,4.95,81,32.78769,-117.19374
25207428,San Diego,San Diego,https://a0.muscache.com/pictures/61a04ce1-b374-46f1-9fcc-d0ca6001a207.jpg,https://www.airbnb.com/rooms/25207428,Entire home/apt,6,299.0,5.0,4.98,89,32.80569,-117.24301
26195569,San Diego,San Diego,https://a0.muscache.com/pictures/f150bdfd-4ad1-44b2-9f1d-6b92a7851d51.jpg,https://www.airbnb.com/rooms/26195569,Entire home/apt,6,159.0,4.0,4.56,211,32.74718,-117.24751
26258281,San Diego,San Diego,https://a0.muscache.com/pictures/82ff866e-7289-414c-9fa0-87f122478c84.jpg,https://www.airbnb.com/rooms/26258281,Entire home/apt,6,211.0,4.0,4.59,82,32.76179886,-117.2519989
25487051,San Diego,San Diego,https://a0.muscache.com/pictures/prohost-api/Hosting-25487051/original/f1a4884d-3d6a-45d5-8bb0-beb32b700b5f.jpeg,https://www.airbnb.com/rooms/25487051,Entire home/apt,6,202.0,7.0,4.67,72,32.7527452,-117.24963
26395469,San Diego,San Diego,https://a0.muscache.com/pictures/prohost-api/Hosting-26395469/original/40edda24-891a-49da-84c2-9b131fc01c46.jpeg,https://www.airbnb.com/rooms/26395469,Entire home/apt,6,136.0,4.0,4.88,242,32.76658,-117.19189
